Time;Rank;Rank_;Data;DiasDoTecnicoNoTime;EmCasa;PJ*;V*;E*;D*;TxVit5Jogos;TxDer5Jogos;TxEmp5Jogos;TxVit5Jogos_;TxDer5Jogos_;TxEmp5Jogos_;Resultado
Paulista;4;66;16/02/2012;113;True;35;21;10;4;40;0;60;40;20;40;V
Corinthians;4;6;12/02/2012;109;False;344;105;109;130;40;0;60;60;0;40;E
Comercial RP;4;;09/02/2012;106;True;;;;;60;0;40;60;0;40;E
Ponte Preta;4;25;05/02/2012;102;False;144;74;43;27;80;0;20;80;0;20;V
Guarani;4;16;02/02/2012;99;True;176;83;53;40;80;0;20;80;0;20;E
São Caetano;4;;28/01/2012;94;True;30;12;9;9;80;20;0;80;20;0;V
Oeste;4;;25/01/2012;91;False;7;5;2;0;80;20;0;80;20;0;V
Botafogo SP;4;;22/01/2012;88;True;101;55;29;17;60;40;0;60;40;0;V
Santos;5;10;04/12/2011;39;True;309;133;72;104;60;40;0;20;40;40;V
Palmeiras;5;7;27/11/2011;32;False;321;108;105;108;40;60;0;40;20;40;D
América MG;5;33;19/11/2011;24;True;18;11;6;1;40;40;20;40;40;20;V
Atlético PR;5;;16/11/2011;21;False;62;21;22;19;20;60;20;60;40;0;D
Avaí;5;39;12/11/2011;17;True;17;9;5;3;20;40;40;20;80;0;V
Bahia;5;19;05/11/2011;10;False;49;17;14;18;20;40;40;20;40;40;D
Vasco da Gama;5;4;30/10/2011;4;False;118;42;35;41;20;40;40;20;40;40;E
Libertad;5;;26/10/2011;0;False;;;;;20;40;40;20;40;40;D
Coritiba;5;11;23/10/2011;4;True;53;23;14;16;20;20;60;20;20;60;E
Libertad;5;;19/10/2011;0;True;;;;;20;40;40;20;40;40;V
Atlético GO;5;47;16/10/2011;85;False;10;3;4;3;0;40;60;0;40;60;D
Internacional;5;8;12/10/2011;81;True;77;27;25;25;0;20;80;40;20;40;E
Cruzeiro;5;9;06/10/2011;75;False;85;42;22;21;20;20;60;0;60;40;E
Flamengo;5;3;02/10/2011;71;True;133;52;39;42;20;40;40;40;20;40;D
Botafogo;5;12;25/09/2011;64;False;106;44;24;38;40;20;40;40;20;40;E
Corinthians;5;2;22/09/2011;61;True;344;105;109;130;60;20;20;20;60;20;E
Ceará;5;24;17/09/2011;56;True;21;13;4;4;60;40;0;0;60;40;V
Grêmio;5;1;11/09/2011;50;False;95;37;27;31;40;40;20;80;20;0;D
Atlético MG;5;6;07/09/2011;46;True;97;34;31;32;60;20;20;40;60;0;V
Figueirense;5;34;03/09/2011;42;False;34;19;10;5;40;20;40;40;20;40;V
Fluminense;5;11;01/09/2011;40;True;122;53;25;44;20;20;60;40;40;20;D
Santos;5;10;28/08/2011;36;False;309;133;72;104;20;0;80;40;40;20;E
Ceará;5;24;25/08/2011;33;True;21;13;4;4;20;20;60;40;40;20;V
Palmeiras;5;7;21/08/2011;29;True;321;108;105;108;20;20;60;0;40;60;E
América MG;5;33;19/08/2011;27;False;18;11;6;1;40;20;40;40;20;40;E
Atlético PR;5;18;13/08/2011;21;True;62;21;22;19;40;40;20;40;20;40;E
Ceará;5;24;10/08/2011;18;False;21;13;4;4;60;40;0;40;60;0;D
Avaí;5;39;07/08/2011;15;False;17;9;5;3;60;20;20;40;60;0;V
Bahia;5;19;05/08/2011;13;True;49;17;14;18;60;20;20;20;40;40;V
Vasco da Gama;5;4;31/07/2011;8;True;118;42;35;41;60;20;20;60;20;20;D
Coritiba;5;;28/07/2011;5;False;53;23;14;16;60;20;20;60;20;20;V
Atlético GO;5;47;23/07/2011;0;True;10;3;4;3;40;40;20;40;40;20;E
Internacional;5;8;17/07/2011;8;False;77;27;25;25;40;60;0;40;60;0;V
Cruzeiro;5;9;09/07/2011;0;True;85;42;22;21;40;60;0;60;20;20;V
Flamengo;5;3;07/07/2011;273;False;133;52;39;42;40;60;0;60;0;40;D
Botafogo ;5;12;30/06/2011;266;True;;;;;60;40;0;60;0;40;D
Corinthians;5;2;26/06/2011;262;False;344;105;109;130;80;20;0;80;0;20;D
Ceará;5;24;19/06/2011;255;False;21;13;4;4;100;0;0;20;60;20;V
Grêmio;5;1;11/06/2011;247;True;95;37;27;31;80;20;0;40;60;0;V
Atlético MG;5;6;09/06/2011;245;False;97;34;31;32;80;20;0;60;40;0;V
Figueirense;5;34;29/05/2011;234;True;34;19;10;5;60;40;0;60;40;0;V
Fluminense;5;11;22/05/2011;227;False;122;53;25;44;60;40;0;40;40;20;V
Avaí;5;39;13/05/2011;218;False;17;9;5;3;60;40;0;40;20;40;D
Avaí;5;39;05/05/2011;210;True;17;9;5;3;80;20;0;40;20;40;V
Santos;5;10;30/04/2011;205;True;309;133;72;104;60;20;20;100;0;0;D
Goiás;5;13;28/04/2011;203;True;49;22;13;14;80;0;20;40;40;20;V
Portuguesa;5;17;24/04/2011;199;True;245;119;64;62;80;0;20;80;0;20;V
Goiás;5;13;21/04/2011;196;False;49;22;13;14;80;0;20;60;20;20;V
Oeste;5;;17/04/2011;192;True;7;5;2;0;60;20;20;60;20;20;E
Noroeste;5;;10/04/2011;185;False;;;;;80;20;0;80;20;0;V
Santa Cruz;5;22;07/04/2011;182;True;;;;;60;40;0;60;40;0;V
Mirassol;5;;03/04/2011;178;True;13;9;2;2;60;40;0;60;40;0;V
Santa Cruz;5;22;31/03/2011;175;False;;;;;60;40;0;60;40;0;D
Corinthians;5;2;27/03/2011;171;True;344;105;109;130;80;20;0;60;40;0;V
Paulista;5;66;24/03/2011;168;False;35;21;10;4;80;20;0;80;20;0;D
Grêmio Barueri;5;;20/03/2011;164;False;;;;;80;0;20;80;0;20;V
Santo André;5;49;13/03/2011;157;True;37;20;10;7;80;0;20;80;0;20;V
Ituano;5;82;11/03/2011;155;True;28;18;5;5;80;0;20;80;0;20;V
São Caetano;5;;05/03/2011;149;False;;;;;60;20;20;60;20;20;V
Palmeiras;5;7;27/02/2011;143;True;321;108;105;108;60;20;20;40;20;40;E
Bragantino;5;37;19/02/2011;135;True;45;25;11;9;60;40;0;60;40;0;V
Portuguesa;5;17;13/02/2011;129;False;245;119;64;62;60;40;0;60;40;0;V
Botafogo SP;5;38;06/02/2011;122;False;101;55;29;17;40;60;0;40;60;0;D
Linense;5;;03/02/2011;119;True;17;11;2;4;60;40;0;60;40;0;V
Santos;5;10;30/01/2011;115;False;309;133;72;104;60;40;0;80;0;20;D
Guaratingueta;5;;27/01/2011;112;False;;;;;60;20;0;80;20;0;V
Ponte Preta;5;25;22/01/2011;107;True;144;74;43;27;40;20;0;60;20;20;D
São Bernardo;5;;20/01/2011;105;True;4;2;1;1;40;0;0;60;20;20;V
Mogi Mirim;5;73;16/01/2011;101;False;27;13;8;6;20;0;0;40;20;40;V
